key,en,ca,cs,de,es,fr,id,it,ja,ko,pl,pt,ru,th,tr,vi,zh
MONEY_FROM_GOLDEN_ASTEROID_THIS_SESSION,Money from Golden Asteroids,Dinero de Asteroides Daurats,Peníze z Zlatých Asteroidů,Geld von goldenen Asteroiden,Dinero de los Asteroides Dorados,Argent provenant d'Astéroïdes Dorés,Uang dari Asteroid Emas,Denaro da Asteroidi Dorati,金色小惑星からのお金,황금 소행성에서 얻는 돈,Pieniądze z Złotych Asteroidów,Dinheiro de Asteroides Dourados,Деньги от золотых астероидов,เงินจากดาวเคราะห์น้อยทองคำ,Altın Asteroitlerden Para,Tiền Từ Asteroid Vàng,来自金色小行星的金钱
THE_LINE_DESCRIPTION,A speedrun mode with minimal randomness. Break fast. Beat your time.,Un mode speedrun amb una mínima aleatorietat. Escapa el dejuni. Guanya el teu temps.,Režim speedrun s minimální náhodou. Rychle se zastavte. Překonejte svůj čas.,Ein Speedrun-Modus mit minimalem Zufallselement. Frühstücke. Schlage deine Zeit.,Compite contra ti mismo en este modo con aleatoriedad mínima. Rompe el ritmo. Supera tu tiempo.,Un mode speedrun avec un minimum d'aléatoire. Démarrez vite. Battez votre record.,Mode speedrun dengan sedikit unsur acak. Sarapan cepat. Kalahkan waktu Anda.,Una modalità speedrun con una casualità minima. Fai una pausa. Batti il ​​tuo tempo.,ランダム性を最小限に抑えたスピードランモード。さあ、早起きして、タイムを破ろう。,"무작위성을 최소화한 스피드런 모드. 빠르게 시작하고, 기록을 경신하세요.",Tryb speedrun z minimalną losowością. Przerwij post. Pokonaj swój czas.,Um modo speedrun com aleatoriedade mínima. Quebre rápido. Supere seu tempo.,Режим скоростного прохождения с минимальным количеством случайных факторов. Быстрый старт. Побей своё время.,โหมดสปีดรันที่มีความสุ่มน้อยที่สุด รีบกินอาหารเช้า แล้วทำลายสถิติของคุณ,Rastgeleliğin en aza indirildiği bir hız koşusu modu. Hızlıca başlayın. Kendi sürenizi geçin.,Chế độ chạy đua tốc độ với yếu tố ngẫu nhiên tối thiểu. Khởi động nhanh. Phá kỷ lục thời gian của chính mình.,随机性极低的速通模式。快速突破，刷新你的纪录。
CHANCE_TO_SPAWN_SPECIAL_ASTEROID_RADIOACTIVE,Chance to Spawn Radioactive Asteroids,Possibilitat de generar asteroides radioactius,Šance na vznik radioaktivních asteroidů,"Chance, radioaktive Asteroiden zu erzeugen",Posibilidad de generar asteroides radiactivos,Risque de formation d'astéroïdes radioactifs,Peluang Munculnya Asteroid Radioaktif,Possibilità di generare asteroidi radioattivi,放射性小惑星の発生確率,방사능 소행성 생성 확률,Szansa na pojawienie się radioaktywnych asteroid,Chance de gerar asteroides radioativos,Вероятность появления радиоактивных астероидов,โอกาสที่จะเกิดดาวเคราะห์น้อยกัมมันตรังสี,Radyoaktif Asteroitlerin Oluşma Şansı,Xác suất xuất hiện tiểu hành tinh phóng xạ,生成放射性小行星的几率
PLANET_PERCENT_TO_RESPAWN_ON_BLACK_HOLE_GROW,Planets Spawned when the Black Hole Grows,Planetes Generats quan el Forat Negre Creix,"Planety Vytvořené, když se Černá Dírka Zvětší","Planeten, die entstehen, wenn das Schwarze Loch wächst",Planetas generados cuando crece el Agujero negro,Planètes Apparues lorsque le Trou Noir Grandit,Planet yang Muncul saat Lubang Hitam Membesar,Pianeti Generati quando il Buco Nero Cresce,ブラックホールが成長する際に生成される惑星,블랙홀 성장 시 생성되는 행성 수,"Planety Pojawione, gdy Czarna Dziura Rośnie",Planetas Gerados quando o Buraco Negro Cresce,"Планеты, появляющиеся при росте черной дыры",ดาวเคราะห์ที่เกิดขึ้นเมื่อหลุมดำเติบโต,Kara Delik Büyüdüğünde Doğmuş Gezegenler,Hành Tinh Sinh Ra Khi Lỗ Đen Tăng Trưởng,黑洞增长时生成的行星
SPECIAL_STAR_SUPERNOVA_SPAWN_CHANCE,Chance to Spawn Supernova Stars,Probabilitat de Generar Estrelles de Supernova,Šance na Vytvoření Supernových Hvězd,"Chance, Supernova-Sterne zu spawnen",Probabilidad de generar Estrellas Supernova,Chance de Faire Apparaître des Étoiles Supernova,Peluang untuk Munculnya Bintang Supernova,Probabilità di Generare Stelle Supernova,超新星の星を生成するチャンス,슈퍼노바 별 생성 확률,Szansa na Pojawienie się Gwiazd Supernowej,Chance de Gerar Estrelas de Supernova,Шанс спавна звезд-сверхновых,โอกาสในการเกิดดาวซูเปอร์โนวา,Süpernova Yıldız Doğurma Şansı,Cơ Hội Sinh Ra Sao Siêu Nova,生成超新星恒星的机会
MOON_LIMIT_HARD_CAP,Maximum Moons,Lluna Top Hard,Hard Cap pro Měsíc,Maximale Monde,Límite de Lunas,Cap Maximum de Lune,Bulan Batas Keras,Limite Duro della Luna,月のハードキャップ,달 하드 캡,Księżyc Twarda Granica,Limite Máximo de Lua,Жесткий лимит для лун,ดวงจันทร์สูงสุด,Ay Sert Üst Sınırı,Giới Hạn Mặt Trăng,卫星硬上限
CHOOSE_A_MODE,Choose a Mode,Tria un Mode,Vyberte Režim,Wähle einen Modus,Escoge un modo,Choisissez un Mode,Pilih Mode,Scegli una Modalità,モードを選択,모드 선택,Wybierz Tryb,Escolha um Modo,Выберите режим,เลือกโหมด,Bir Mod Seç,Chọn Một Chế Độ,选择模式
STARTING_BLACK_HOLE_LEVEL,Starting Black Hole Level,Nivell Inicial del Forat Negre,Počáteční Úroveň Černé Díry,Startlevel des Schwarzen Loches,Nivel inicial del Agujero negro,Niveau de Trou Noir de Départ,Tingkat Lubang Hitam Awal,Livello Iniziale del Buco Nero,開始ブラックホールレベル,시작 블랙홀 레벨,Początkowy Poziom Czarnej Dziury,Nível Inicial do Buraco Negro,Начальный уровень черной дыры,ระดับหลุมดำเริ่มต้น,Başlangıç Kara Delik Seviyesi,Bắt Đầu Mức Lỗ Đen,初始黑洞等级
ZEN_MODE,Zen Mode,Mode Zen,Zenový režim,Zen-Modus,Modo Zen,Mode Zen,Mode Zen,Modalità Zen,禅モード,젠 모드,Tryb Zen,Modo Zen,Режим Дзен,โหมดเซน,Zen Modu,Chế độ Thiền,禅定模式
PASSIVE_MONEY_PER_SECOND,Money Per Second,Dinero per Segon,Peníze za Sekundu,Geld pro Sekunde,Dinero por segundo,Argent par Seconde,Uang Per Detik,Denaro al Secondo,1秒あたりのお金,초당 수익,Pieniądze na Sekundę,Dinheiro Por Segundo,Деньги в секунду,เงินต่อวินาที,Saniye Başına Para,Tiền Mỗi Giây,每秒金钱
CONTROLLER_SENSETIVITY,Controller Sensitivity,Sensibilitat del controlador,Citlivost ovladače,Reglerempfindlichkeit,Sensibilidad del mando,Sensibilité du contrôleur,Sensitivitas Pengontrol,Sensibilità del controller,コントローラーの感度,컨트롤러 감도,Czułość kontrolera,Sensibilidade do controlador,Чувствительность контроллера,ความไวของตัวควบคุม,Kontrol Cihazı Hassasiyeti,Độ nhạy của bộ điều khiển,控制器灵敏度
PICK_ONE_LABEL,Choose One,Tria'n un,Vyberte si jednu,Wähle eines aus,Elige uno,Choisissez-en un,Pilih Salah Satu,Scegline uno,1つ選択,하나를 선택하세요,Wybierz jeden,Escolha uma opção.,Выберите один вариант,เลือกหนึ่งข้อ,Birini Seçin,Chọn một,选择一个
MAIN VOLUME,Main Volume,Volum Principal,Hlavní Hlasitost,Hauptlautstärke,Volumen principal,Volume Principal,Volume Utama,Volume Principale,メインボリューム,주 음량,Głośność Główna,Volume Principal,Основная громкость,ระดับเสียงหลัก,Ana Ses,Âm Lượng Chính,主音量
IDLE_MODE,Idler Mode,Mode Oci,Režim Idle,Idle-Modus,Modo Inactividad,Mode Inactif,Mode Idler,Modalità Inattiva,アイドルモード,대기자 모드,Tryb Bezczynny,Modo Inativo,Режим бездействия,โหมดผู้เล่นที่ไม่ทำอะไร,Boşta Mod,Chế Độ Idler,闲置者模式
GAME_OVER_MADE_BY,Made by Andy (Aarimous) & Cory (Thornity),Fet per Andy (Aarimous) i Cory (Thornity),Vytvořeno Andy (Aarimous) & Cory (Thornity),Erstellt von Andy (Aarimous) & Cory (Thornity),Hecho por Andy (Aarimous) y Cory (Thornity),Créé par Andy (Aarimous) & Cory (Thornity),Dibuat oleh Andy (Aarimous) & Cory (Thornity),Creato da Andy (Aarimous) & Cory (Thornity),Andy (Aarimous) と Cory (Thornity) によって制作,앤디 (Aarimous) & 코리 (Thornity) 제작,Stworzone przez Andy'ego (Aarimous) i Cory'ego (Thornity),Feito por Andy (Aarimous) & Cory (Thornity),Сделано Энджи (Ааримус) и Кори (Торнити),สร้างโดย Andy (Aarimous) & Cory (Thornity),Andy (Aarimous) ve Cory (Thornity) tarafından yapıldı,Được Tạo Bởi Andy (Aarimous) & Cory (Thornity),由 Andy (Aarimous) 和 Cory (Thornity) 制作
CHANCE_TO_SPAWN_SPECIAL_ASTEROID_ELECTRIC,Chance to Spawn Electric Asteroids,Probabilitat de Generar Asteroides Elèctrics,Šance na Vytvoření Elektrických Asteroidů,"Chance, elektrische Asteroiden zu erzeugen",Probabilidad de generar un Asteroide Eléctrico,Chance de Faire Apparaître des Astéroïdes Électriques,Peluang untuk Munculnya Asteroid Listrik,Probabilità di Generare Asteroidi Elettrici,電気小惑星が生成されるチャンス,전기 소행성 생성 확률,Szansa na Pojawienie się Elektrowych Asteroidów,Chance de Gerar Asteroides Elétricos,Шанс появления электрических астероидов,โอกาสในการเกิดดาวเคราะห์น้อยไฟฟ้า,Elektrikli Asteroit Doğurma Şansı,Cơ Hội Sinh Ra Asteroid Điện,生成电气小行星的机会
SPECIAL_PLANET_ASTEROID_PINATA_SPAWN_CHANCE,Chance to Spawn Platinum Planet,Probabilitat de Generar Planeta de Platí,Šance na Vytvoření Platinové Planety,"Chance, einen Platin-Planeten zu spawnen",Probabilidad de generar un Planeta Platino,Chance de Faire Apparaître une Planète Platine,Peluang untuk Munculnya Planet Platinum,Probabilità di Generare un Pianeta Platino,プラチナ惑星を生成するチャンス,플래티넘 행성 생성 확률,Szansa na Pojawienie się Platynowej Planety,Chance de Gerar Planeta de Platina,Шанс спавна платиновой планеты,โอกาสในการเกิดดาวเคราะห์แพลทินัม,Platin Gezegen Doğurma Şansı,Cơ Hội Sinh Ra Hành Tinh Bạch Kim,生成铂金行星的机会
BLACK_HOLE_NAME_40,Gargantua Black Hole,Forat Negre Gargantua,Gargantua Černá Dírka,Gargantua Schwarzes Loch,Agujero negro Descomunal,Trou Noir Gargantua,Lubang Hitam Gargantua,Buco Nero Gargantua,ガルガンチュア ブラックホール,가르간투아 블랙홀,Gargantua Czarna Dziura,Buraco Negro Gargantua,Гаргантюа черная дыра,หลุมดำการ์แกนตัวยักษ์,Gargantua Kara Delik,Lỗ Đen Gargantua,巨兽黑洞
BLACK_HOLE_NAME_41,A Well Fed Black Hole,Un forat negre ben alimentat,Dobře živená černá díra,Ein gut genährtes Schwarzes Loch,Un agujero negro bien alimentado,Un trou noir bien nourri,Lubang Hitam yang Terisi Penuh,Un buco nero ben nutrito,十分に栄養を与えられたブラックホール,잘 먹은 블랙홀,Dobrze odżywiona czarna dziura,Um buraco negro bem alimentado,Сытая чёрная дыра,หลุมดำที่อิ่มหนำสำราญ,İyi Beslenmiş Bir Kara Delik,Một lỗ đen được nuôi dưỡng tốt,一个被喂饱的黑洞
SPECIAL_PLANET_MOON_BUFF_DURATION,Moon Buff Duration,Durada del Buff de Lluna,Doba Trvání Buffu Měsíce,Dauer des Mond-Buffs,Duración del don lunar,Durée de Buff de Lune,Durasi Buff Bulan,Durata Buff Luna,月バフの持続時間,달 버프 지속시간,Czas Buffu Księżyca,Duração do Buff da Lua,Длительность бонуса луны,ระยะเวลาบัฟดวงจันทร์,Ay Buff Süresi,Thời Gian Buff Mặt Trăng,卫星增益持续时间
BLACK_HOLE_NAME_42,The Singularity Black Hole,El Forat Negre de la Singularitat,Singularita Černá Dírka,Das Singularität Schwarze Loch,Agujero negro La singularidad,Trou Noir de la Singularité,Lubang Hitam Singularity,Il Buco Nero della Singolarità,特異点ブラックホール,특이점 블랙홀,Czarna Dziura Singularność,O Buraco Negro da Singularidade,Сингуларность черной дыры,หลุมดำอันมหาศาล,Tekillik Kara Delik,Lỗ Đen Đặc Tính,奇点黑洞
OBJECTS_DESTROYED_THIS_MILESTONE,Total Objects Destroyed this Milestone,Total d'Objectes Destruïts aquesta Fita,Celkový Počet Zničených Objektů tento Milník,Gesamt-Objekte zerstört in diesem Meilenstein,Objetos destruidos este Hito,Objets Totaux Détruits de cette Étape,Total Objek Dihancurkan tonggak ini,Oggetti Totali Distrutti in questo Milestone,このマイルストーンで破壊したオブジェクトの合計,이번 이정표에서 파괴된 총 물체 수,Łączna Liczba Zniszczonych Obiektów w tym Milestone,Total de Objetos Destruídos neste Marco,"Всего объектов, уничтоженных на этой вехе",จำนวนวัตถุทั้งหมดที่ถูกทำลายในเหตุการณ์สำคัญนี้,Bu Eşiği geçilen Toplam Yok Edilen Nesneler,Tổng Số Đối Tượng Bị Phá Hủy Mốc này,此里程碑总共摧毁的物体
PRESS KIT,Press Kit,Kit de Premsa,Tisková Sada,Presseset,Kit de prensa,Kit de Presse,Paket Pers,Press Kit,プレスキット,프레스 키트,Zestaw Prasowy,Press Kit,Пресс-кит,ชุดกด,Basın Kiti,Bộ Tài Liệu Nhấn,媒体包
SIZE,Size,Mida,Velikost,Größe,Tamaño,Taille,Ukuran,Dimensione,サイズ,크기,Rozmiar,Tamanho,Размер,ขนาด,Boyut,Kích Thước,大小
PLAY,Play,Jugar,Hráč,Spielen,Jugar,Jouer,Mainkan,Gioca,プレイ,플레이,Graj,Jogar,Играть,เล่น,Oyna,Chơi,玩
THURSDAY,Thursday,Dijous,Čtvrtek,Donnerstag,Jueves,Jeudi,Kamis,Giovedì,木曜日,목요일,Czwartek,Quinta-feira,Четверг,วันพฤหัสบดี,Perşembe,Thứ năm,星期四
